'ding'xiang 丁香
'xi'shu'cong'lin 稀疏丛林
'kong'di'tu 空地图
'kong'qi 空气
'chuan'ci 穿刺
'chuan'tou 穿透
'zhu'ya'li'ban 竹压力板
'zhu'tai'jie 竹台阶
'zhu'gao'shi'pai 竹告示牌
'zhu'kuai 竹块
'zhu'zi 竹子
'zhu'zi'pen'zai 竹子盆栽
'zhu'an'niu 竹按钮
'zhu'ban 竹板
'zhu'lin 竹林
'zhu'zha'lan 竹栅栏
'zhu'zha'lan'men 竹栅栏门
'zhu'lou'ti 竹楼梯
'zhu'huo'ban'men 竹活板门
'zhu'sun 竹笋
'zhu'fa 竹筏
'zhu'men 竹门
'zhu'ma'sai'ke 竹马赛克
'zhu'ma'sai'ke'tai'jie 竹马赛克台阶
'zhu'ma'sai'ke'lou'ti 竹马赛克楼梯
'guan'shan'hu 管珊瑚
'guan'shan'hu'kuai 管珊瑚块
'guan'shan'hu'shan 管珊瑚扇
'jian 箭
'xiang'zi 箱子
'fen'hong'se'di'tan 粉红色地毯
'fen'hong'se'dai'you'tao'wa 粉红色带釉陶瓦
'fen'hong'se'chuang 粉红色床
'fen'hong'se'qi'zhi 粉红色旗帜
'fen'hong'se'ran'liao 粉红色染料
'fen'hong'se'ran'se'bo'li 粉红色染色玻璃
'fen'hong'se'ran'se'bo'li'ban 粉红色染色玻璃板
'fen'hong'se'hun'ning'tu 粉红色混凝土
'fen'hong'se'hun'ning'tu'fen'mo 粉红色混凝土粉末
'fen'hong'se'qian'ying'he 粉红色潜影盒
'fen'hong'se'yang'mao 粉红色羊毛
'fen'hong'se'hua'cu 粉红色花簇
'fen'hong'se'la'zhu 粉红色蜡烛
'fen'hong'se'yu'jin'xiang 粉红色郁金香
'fen'hong'se'yu'jin'xiang'pen'zai 粉红色郁金香盆栽
'fen'hong'se'tao'wa 粉红色陶瓦
'cu'zhi'de'yao'shui 粗制的药水
'cu'jin 粗金
'cu'jin'kuai 粗金块
'cu'tie 粗铁
'cu'tie'kuai 粗铁块
'cu'tong 粗铜
'cu'tong'kuai 粗铜块
'jing'zhun'cai'ji 精准采集
'tang 糖
'zi'shui'jing'kuai 紫水晶块
'zi'shui'jing'mu'yan 紫水晶母岩
'zi'shui'jing'sui'pian 紫水晶碎片
'zi'shui'jing'cu 紫水晶簇
'zi'po'tai'jie 紫珀台阶
'zi'po'kuai 紫珀块
'zi'po'zhu 紫珀柱
'zi'po'lou'ti 紫珀楼梯
'zi'se'di'tan 紫色地毯
'zi'se'dai'you'tao'wa 紫色带釉陶瓦
'zi'se'chuang 紫色床
'zi'se'qi'zhi 紫色旗帜
'zi'se'ran'liao 紫色染料
'zi'se'ran'se'bo'li 紫色染色玻璃
'zi'se'ran'se'bo'li'ban 紫色染色玻璃板
'zi'se'hun'ning'tu 紫色混凝土
'zi'se'hun'ning'tu'fen'mo 紫色混凝土粉末
'zi'se'qian'ying'he 紫色潜影盒
'zi'se'yang'mao 紫色羊毛
'zi'se'la'zhu 紫色蜡烛
'zi'se'tao'wa 紫色陶瓦
'zi'song'guo 紫颂果
'zi'song'zhi'zhu 紫颂植株
'zi'song'hua 紫颂花
'fan'hua'sen'lin 繁花森林
'fan'mao'dong'xue 繁茂洞穴
'hong'shu'yuan'mu 红树原木
'hong'shu'mu 红树木
'hong'shu'mu'ya'li'ban 红树木压力板
'hong'shu'mu'tai'jie 红树木台阶
'hong'shu'mu'gao'shi'pai 红树木告示牌
'hong'shu'mu'an'niu 红树木按钮
'hong'shu'mu'ban 红树木板
'hong'shu'mu'zha'lan 红树木栅栏
'hong'shu'mu'zha'lan'men 红树木栅栏门
'hong'shu'mu'lou'ti 红树木楼梯
'hong'shu'mu'huo'ban'men 红树木活板门
'hong'shu'mu'chuan 红树木船
'hong'shu'mu'yun'shu'chuan 红树木运输船
'hong'shu'mu'men 红树木门
'hong'shu'lin'zhao'ze 红树林沼泽
'hong'shu'shu'ye 红树树叶
'hong'shu'gen 红树根
'hong'shu'tai'sheng'miao 红树胎生苗
'hong'shu'tai'sheng'miao'pen'zai 红树胎生苗盆栽
'hong'sha 红沙
'hong'shi'zhong'ji'qi 红石中继器
'hong'shi'kuai 红石块
'hong'shi'bi'jiao'qi 红石比较器
'hong'shi'huo'ba 红石火把
'hong'shi'deng 红石灯
'hong'shi'kuang'shi 红石矿石
'hong'shi'fen 红石粉
'hong'shi'xian 红石线
'hong'sha'yan 红砂岩
'hong'sha'yan'tai'jie 红砂岩台阶
'hong'sha'yan'qiang 红砂岩墙
'hong'sha'yan'lou'ti 红砂岩楼梯
'hong'zhuan 红砖
'hong'zhuan'tai'jie 红砖台阶
'hong'zhuan'kuai 红砖块
'hong'zhuan'qiang 红砖墙
'hong'zhuan'lou'ti 红砖楼梯
'hong'se'xia'jie'zhuan'tai'jie 红色下界砖台阶
'hong'se'xia'jie'zhuan'kuai 红色下界砖块
'hong'se'xia'jie'zhuan'qiang 红色下界砖墙
'hong'se'xia'jie'zhuan'lou'ti 红色下界砖楼梯
'hong'se'di'tan 红色地毯
'hong'se'dai'you'tao'wa 红色带釉陶瓦
'hong'se'chuang 红色床
'hong'se'qi'zhi 红色旗帜
'hong'se'ran'liao 红色染料
'hong'se'ran'se'bo'li 红色染色玻璃
'hong'se'ran'se'bo'li'ban 红色染色玻璃板
'hong'se'hun'ning'tu 红色混凝土
'hong'se'hun'ning'tu'fen'mo 红色混凝土粉末
'hong'se'qian'ying'he 红色潜影盒
'hong'se'yang'mao 红色羊毛
'hong'se'mo'gu 红色蘑菇
'hong'se'mo'gu'fang'kuai 红色蘑菇方块
'hong'se'mo'gu'pen'zai 红色蘑菇盆栽
'hong'se'la'zhu 红色蜡烛
'hong'se'yu'jin'xiang 红色郁金香
'hong'se'yu'jin'xiang'pen'zai 红色郁金香盆栽
'hong'se'tao'wa 红色陶瓦
'zhi 纸
'xian 线
'xi'xue 细雪
'xi'xue'tong 细雪桶
'zhi'bu'ji 织布机
'ban'xian 绊线
'ban'xian'gou 绊线钩
'jing'yan'xiu'bu 经验修补
'jing'yan'qiu 经验球
'bang'ding'zu'zhou 绑定诅咒
'rong'qiu'cong 绒球葱
'rong'qiu'cong'pen'zai 绒球葱盆栽
'jie'gou'fang'kuai 结构方块
'jie'gou'kong'wei 结构空位
'jie'guo'de'nan'gua'jing 结果的南瓜茎
'jie'guo'de'xi'gua'jing 结果的西瓜茎
'fei'hong'mu'ya'li'ban 绯红木压力板
'fei'hong'mu'tai'jie 绯红木台阶
'fei'hong'mu'gao'shi'pai 绯红木告示牌
'fei'hong'mu'an'niu 绯红木按钮
'fei'hong'mu'ban 绯红木板
'fei'hong'mu'zha'lan 绯红木栅栏
'fei'hong'mu'zha'lan'men 绯红木栅栏门
'fei'hong'mu'lou'ti 绯红木楼梯
'fei'hong'mu'huo'ban'men 绯红木活板门
'fei'hong'mu'men 绯红木门
'fei'hong'sen'lin 绯红森林
'fei'hong'jun 绯红菌
'fei'hong'jun'yan 绯红菌岩
'fei'hong'jun'bing 绯红菌柄
'fei'hong'jun'he 绯红菌核
'fei'hong'jun'pen'zai 绯红菌盆栽
'fei'hong'jun'suo 绯红菌索
'fei'hong'jun'suo'pen'zai 绯红菌索盆栽
'mian'yang 绵羊
'mian'yang'shua'guai'dan 绵羊刷怪蛋
'lv'bao'shi 绿宝石
'lv'bao'shi'kuai 绿宝石块
'lv'bao'shi'kuang'shi 绿宝石矿石
'lv'se'di'tan 绿色地毯
'lv'se'dai'you'tao'wa 绿色带釉陶瓦
'lv'se'chuang 绿色床
'lv'se'qi'zhi 绿色旗帜
'lv'se'ran'liao 绿色染料
'lv'se'ran'se'bo'li 绿色染色玻璃
'lv'se'ran'se'bo'li'ban 绿色染色玻璃板
'lv'se'hun'ning'tu 绿色混凝土
'lv'se'hun'ning'tu'fen'mo 绿色混凝土粉末
'lv'se'qian'ying'he 绿色潜影盒
'lv'se'yang'mao 绿色羊毛
'lv'se'la'zhu 绿色蜡烛
'lv'se'tao'wa 绿色陶瓦
'huan'man 缓慢
'huan'jiang 缓降
'huan'jiang'zhi'jian 缓降之箭
'huan'jiang'yao'shui 缓降药水
'chan'yuan'teng 缠怨藤
'chan'yuan'teng'zhi'zhu 缠怨藤植株
'chan'gen'ni'tu 缠根泥土
'yang'tuo 羊驼
'yang'tuo'shua'guai'dan 羊驼刷怪蛋
'yang'tuo'tuo'mo 羊驼唾沫
'mei'xi'yuan 美西螈
'mei'xi'yuan'shua'guai'dan 美西螈刷怪蛋
'mei'xi'yuan'tong 美西螈桶
'yu'mao 羽毛
'nai'jiu 耐久
'geng'di 耕地
'lei'gu'kui'jia'wen'shi 肋骨盔甲纹饰
'hu'luo'bo 胡萝卜
'hu'luo'bo'diao'gan 胡萝卜钓竿
'nao'wen'shan'hu 脑纹珊瑚
'nao'wen'shan'hu'kuai 脑纹珊瑚块
'nao'wen'shan'hu'shan 脑纹珊瑚扇
'jiao'shou'jia 脚手架
'fu'rou 腐肉
'zhi'mi 致密
'chuan 船
'jie'zhi'sha'shou 节肢杀手
'hua'gang'yan 花岗岩
'hua'gang'yan'tai'jie 花岗岩台阶
'hua'gang'yan'qiang 花岗岩墙
'hua'gang'yan'lou'ti 花岗岩楼梯
'hua'pen 花盆
'tai'shi 苔石
'tai'shi'tai'jie 苔石台阶
'tai'shi'qiang 苔石墙
'tai'shi'lou'ti 苔石楼梯
'tai'shi'zhuan 苔石砖
'tai'shi'zhuan'tai'jie 苔石砖台阶
'tai'shi'zhuan'qiang 苔石砖墙
'tai'shi'zhuan'lou'ti 苔石砖楼梯
'tai'xian'kuai 苔藓块
'ku'li'pa 苦力怕
'ku'li'pa'shua'guai'dan 苦力怕刷怪蛋
'ku'li'pa'de'tou 苦力怕的头
'ping'guo 苹果
'jing'ji 荆棘
'cao 草
'cao'fang'kuai 草方块
'cao'dian 草甸
'huang'ye'kui'jia'wen'shi 荒野盔甲纹饰
'ying'guang'mo'nang 荧光墨囊
'ying'guang'wu'pin'zhan'shi'kuang 荧光物品展示框
'ying'shi 荧石
'ying'shi'fen 荧石粉
'yao'shui 药水
'yao'jian 药箭
'jun'si'ti 菌丝体
'jun'guang'ti 菌光体
'ying'huo 营火
'pu'gong'ying 蒲公英
'pu'gong'ying'pen'zai 蒲公英盆栽
'xu'feng 蓄风
'xu'feng'zhi'jian 蓄风之箭
'xu'feng'yao'shui 蓄风药水
'lan'bing 蓝冰
'lan'se'di'tan 蓝色地毯
'lan'se'dai'you'tao'wa 蓝色带釉陶瓦
'lan'se'chuang 蓝色床
'lan'se'qi'zhi 蓝色旗帜
'lan'se'ran'liao 蓝色染料
'lan'se'ran'se'bo'li 蓝色染色玻璃
'lan'se'ran'se'bo'li'ban 蓝色染色玻璃板
'lan'se'hun'ning'tu 蓝色混凝土
'lan'se'hun'ning'tu'fen'mo 蓝色混凝土粉末
'lan'se'qian'ying'he 蓝色潜影盒
'lan'se'yang'mao 蓝色羊毛
'lan'se'la'zhu 蓝色蜡烛
'lan'se'tao'wa 蓝色陶瓦
'lan'hua'mei'er'cao 蓝花美耳草
'lan'hua'mei'er'cao'pen'zai 蓝花美耳草盆栽
'jue 蕨
'jue'pen'zai 蕨盆栽
'cang'bao'tu 藏宝图
'teng'wan 藤蔓
'mo'gu'dao 蘑菇岛
'mo'gu'bing 蘑菇柄
'mo'gu'bao 蘑菇煲
'xu'ruo 虚弱
'xu'ruo'zhi'jian 虚弱之箭
'xu'ruo'yao'shui 虚弱药水
'xu'kong 虚空
'xu'kong'kong'qi 虚空空气
'yu'mei'ren 虞美人
'yu'mei'ren'pen'zai 虞美人盆栽
'chong'shi'zhi'jian 虫蚀之箭
'chong'shi'yuan'shi 虫蚀圆石
'chong'shi'shen'ban'yan 虫蚀深板岩
'chong'shi'shi'tou 虫蚀石头
'chong'shi'shi'zhuan 虫蚀石砖
'chong'shi'tai'shi'zhuan 虫蚀苔石砖
'chong'shi'yao'shui 虫蚀药水
'chong'shi'lie'wen'shi'zhuan 虫蚀裂纹石砖
'chong'shi'diao'wen'shi'zhuan 虫蚀雕纹石砖
'dan'gao 蛋糕
'feng'chao 蜂巢
'feng'xiang 蜂箱
'feng'mi'kuai 蜂蜜块
'feng'mi'ping 蜂蜜瓶
'zhi'zhu 蜘蛛
'zhi'zhu'shua'guai'dan 蜘蛛刷怪蛋
'zhi'zhu'yan 蜘蛛眼
'zhi'zhu'wang 蜘蛛网
'mi'pi 蜜脾
'mi'pi'kuai 蜜脾块
'mi'feng 蜜蜂
'mi'feng'shua'guai'dan 蜜蜂刷怪蛋
'la'zhu 蜡烛
'ke'dou 蝌蚪
'ke'dou'shua'guai'dan 蝌蚪刷怪蛋
'ke'dou'tong 蝌蚪桶
'bian'fu 蝙蝠
'bian'fu'shua'guai'dan 蝙蝠刷怪蛋
'du'chong 蠹虫
'du'chong'shua'guai'dan 蠹虫刷怪蛋
'xing'shang'yang'tuo 行商羊驼
'xing'shang'yang'tuo'shua'guai'dan 行商羊驼刷怪蛋
'bei'ji'huo'de'TNT 被激活的TNT
'xi'ji'zhi'zhao 袭击之兆
'lie'wen'xia'jie'zhuan'kuai 裂纹下界砖块
'lie'wen'shen'ban'yan'wa 裂纹深板岩瓦
'lie'wen'shen'ban'yan'zhuan 裂纹深板岩砖
'lie'wen'shi'zhuan 裂纹石砖
'lie'wen'mo'zhi'hei'shi'zhuan 裂纹磨制黑石砖
'zhuang'you'shui'de'lian'yao'guo 装有水的炼药锅
'zhuang'you'rong'yan'de'lian'yao'guo 装有熔岩的炼药锅
'zhuang'you'xi'xue'de'lian'yao'guo 装有细雪的炼药锅
'luo'yan'shan'feng 裸岩山峰
'xi'gua 西瓜
'xi'gua'pian 西瓜片
'xi'gua'zhong'zi 西瓜种子
'xi'gua'jing 西瓜茎
'fu'di'tai'xian 覆地苔藓
'jiang'tai 讲台
'shi'lian'zhi'zhao 试炼之兆
'shi'lian'shua'guai'long 试炼刷怪笼
'shi'lian'tan'xian'jia'di'tu 试炼探险家地图
'shi'lian'yao'shi 试炼钥匙
'gui'yi'mu'ya'li'ban 诡异木压力板
'gui'yi'mu'tai'jie 诡异木台阶
'gui'yi'mu'gao'shi'pai 诡异木告示牌
'gui'yi'mu'an'niu 诡异木按钮
'gui'yi'mu'ban 诡异木板
'gui'yi'mu'zha'lan 诡异木栅栏
'gui'yi'mu'zha'lan'men 诡异木栅栏门
'gui'yi'mu'lou'ti 诡异木楼梯
'gui'yi'mu'huo'ban'men 诡异木活板门
'gui'yi'mu'men 诡异木门
'gui'yi'sen'lin 诡异森林
'gui'yi'you'kuai 诡异疣块
'gui'yi'jun 诡异菌
'gui'yi'jun'yan 诡异菌岩
'gui'yi'jun'bing 诡异菌柄
'gui'yi'jun'he 诡异菌核
'gui'yi'jun'pen'zai 诡异菌盆栽
'gui'yi'jun'suo 诡异菌索
'gui'yi'jun'suo'pen'zai 诡异菌索盆栽
'gui'yi'jun'diao'gan 诡异菌钓竿
'tiao'shi'bang 调试棒
'mi'zhi'dun'cai 谜之炖菜
'bao'mao 豹猫
'bao'mao'shua'guai'dan 豹猫刷怪蛋
'zhe'huang'wa'ming'deng 赭黄蛙明灯
'tiao'yue'zhi'jian 跳跃之箭
'tiao'yue'ti'sheng 跳跃提升
'tiao'yue'yao'shui 跳跃药水
'qing'zhi'ce'zhong'ya'li'ban 轻质测重压力板
'xun'jie 迅捷
'xun'jie'zhi'jian 迅捷之箭
'xun'jie'qian'xing 迅捷潜行
'xun'jie'yao'shui 迅捷药水
'yun'shu'kuang'che 运输矿车
'yun'shu'zhu'fa 运输竹筏
'yun'shu'chuan 运输船
'yuan'gu'shou'wei'zhe 远古守卫者
'yuan'gu'shou'wei'zhe'shua'guai'dan 远古守卫者刷怪蛋
'yuan'gu'can'hai 远古残骸
'lian'suo'xing'ming'ling'fang'kuai 连锁型命令方块
'chi'huan'zhi'jian 迟缓之箭
'chi'huan'yao'shui 迟缓药水
'zhui'su'zhi'zhen 追溯指针
'zhe'guang'bo'li 遮光玻璃
'bi'lei'zhen 避雷针
'niang'zao'tai 酿造台
'cai'kuang'wen'yang'tao'pian 采矿纹样陶片
'chong'sheng'mao 重生锚
'zhong'zhi'ce'zhong'ya'li'ban 重质测重压力板
'zhong'chui 重锤
'jin'jian 金剑
'jin'he'huan'yuan'mu 金合欢原木
'jin'he'huan'mu 金合欢木
'jin'he'huan'mu'ya'li'ban 金合欢木压力板
'jin'he'huan'mu'tai'jie 金合欢木台阶
'jin'he'huan'mu'gao'shi'pai 金合欢木告示牌
'jin'he'huan'mu'an'niu 金合欢木按钮
'jin'he'huan'mu'ban 金合欢木板
'jin'he'huan'mu'zha'lan 金合欢木栅栏
'jin'he'huan'mu'zha'lan'men 金合欢木栅栏门
'jin'he'huan'mu'lou'ti 金合欢木楼梯
'jin'he'huan'mu'huo'ban'men 金合欢木活板门
'jin'he'huan'mu'chuan 金合欢木船
'jin'he'huan'mu'yun'shu'chuan 金合欢木运输船
'jin'he'huan'mu'men 金合欢木门
'jin'he'huan'shu'ye 金合欢树叶
'jin'he'huan'shu'miao 金合欢树苗
'jin'he'huan'shu'miao'pen'zai 金合欢树苗盆栽
'jin'kuai 金块
'jin'tou'kui 金头盔
'jin'hu'tui 金护腿
'jin'fu 金斧
'jin'kuang'shi 金矿石
'jin'li 金粒
'jin'hu'luo'bo 金胡萝卜
'jin'xiong'jia 金胸甲
'jin'ping'guo 金苹果
'jin'chu 金锄
'jin'ding 金锭
'jin'qiao 金锹
'jin'gao 金镐
'jin'xue'zi 金靴子
'jin'ma'kai 金马铠
'zhen'ye'lin 针叶林
'zhen'ye'lin'cun'zhuang'di'tu 针叶林村庄地图
'diao'yu'gan 钓鱼竿
'zhong 钟
'zuan'shi 钻石
'zuan'shi'jian 钻石剑
'zuan'shi'kuai 钻石块
'zuan'shi'tou'kui 钻石头盔
'zuan'shi'hu'tui 钻石护腿
'zuan'shi'fu 钻石斧
'zuan'shi'kuang'shi 钻石矿石
'zuan'shi'xiong'jia 钻石胸甲
'zuan'shi'chu 钻石锄
'zuan'shi'qiao 钻石锹
'zuan'shi'gao 钻石镐
'zuan'shi'xue'zi 钻石靴子
'zuan'shi'ma'kai 钻石马铠
'tie'kui'lei 铁傀儡
'tie'kui'lei'shua'guai'dan 铁傀儡刷怪蛋
'tie'jian 铁剑
'tie'kuai 铁块
'tie'tou'kui 铁头盔
'tie'hu'tui 铁护腿
'tie'fu 铁斧
'tie'lan'gan 铁栏杆
'tie'tong 铁桶
'tie'huo'ban'men 铁活板门
'tie'kuang'shi 铁矿石
'tie'zhen 铁砧
'tie'li 铁粒
'tie'xiong'jia 铁胸甲
'tie'gui 铁轨
'tie'chu 铁锄
'tie'ding 铁锭
'tie'qiao 铁锹
'tie'gao 铁镐
'tie'men 铁门
'tie'xue'zi 铁靴子
'tie'ma'kai 铁马铠
'ling'lan 铃兰
'ling'lan'pen'zai 铃兰盆栽
'tong'kuai 铜块
'tong'ge'zha 铜格栅
'tong'huo'ban'men 铜活板门
'tong'deng 铜灯
'tong'kuang'shi 铜矿石
'tong'ding 铜锭
'tong'men 铜门
'suo'lian 锁链
'suo'lian'tou'kui 锁链头盔
'suo'lian'hu'tui 锁链护腿
'suo'lian'xiong'jia 锁链胸甲
'suo'lian'xue'zi 锁链靴子
'xiu'shi'de'qie'zhi'tong'tai'jie 锈蚀的切制铜台阶
'xiu'shi'de'qie'zhi'tong'kuai 锈蚀的切制铜块
'xiu'shi'de'qie'zhi'tong'lou'ti 锈蚀的切制铜楼梯
'xiu'shi'de'tong'kuai 锈蚀的铜块
'xiu'shi'de'tong'ge'zha 锈蚀的铜格栅
'xiu'shi'de'tong'huo'ban'men 锈蚀的铜活板门
'xiu'shi'de'tong'deng 锈蚀的铜灯
'xiu'shi'de'tong'men 锈蚀的铜门
'xiu'shi'de'diao'wen'tong'kuai 锈蚀的雕纹铜块
'feng'li 锋利
'duan'zao'tai 锻造台
'duan'zao'mu'ban 锻造模板
'xiang'jin'hei'shi 镶金黑石
'xiang'mao'kui'jia'wen'shi 镶铆盔甲纹饰
'shan'shuo'de'xi'gua'pian 闪烁的西瓜片
'shan'dian'shu 闪电束
'shan'zhang'yan 闪长岩
'shan'zhang'yan'tai'jie 闪长岩台阶
'shan'zhang'yan'qiang 闪长岩墙
'shan'zhang'yan'lou'ti 闪长岩楼梯
'yang'guang'tan'ce'qi 阳光探测器
'fu'mo'zhi'ping 附魔之瓶
'fu'mo'shu 附魔书
'fu'mo'tai 附魔台
'fu'mo'jin'ping'guo 附魔金苹果
'tao'wa 陶瓦
'xian'jing'xiang 陷阱箱
'yin'shen 隐身
'yin'shen'zhi'jian 隐身之箭
'yin'shen'yao'shui 隐身药水
'gu'zhu'kui'jia'wen'shi 雇主盔甲纹饰
'diao'ke'nan'gua 雕刻南瓜
'diao'wen'xia'jie'zhuan'kuai 雕纹下界砖块
'diao'wen'shu'jia 雕纹书架
'diao'wen'ning'hui'yan 雕纹凝灰岩
'diao'wen'ning'hui'yan'zhuan 雕纹凝灰岩砖
'diao'wen'shen'ban'yan 雕纹深板岩
'diao'wen'shi'zhuan 雕纹石砖
'diao'wen'shi'ying'kuai 雕纹石英块
'diao'wen'sha'yan 雕纹砂岩
'diao'wen'mo'zhi'hei'shi 雕纹磨制黑石
'diao'wen'hong'sha'yan 雕纹红砂岩
'diao'wen'tong'kuai 雕纹铜块
'xue 雪
'xue'kui'lei 雪傀儡
'xue'kui'lei'shua'guai'dan 雪傀儡刷怪蛋
'xue'yuan 雪原
'xue'yuan'cun'zhuang'di'tu 雪原村庄地图
'xue'kuai 雪块
'xue'lin 雪林
'xue'qiu 雪球
'mei'yun 霉运
'shuang'bing 霜冰
'qing'cui'wa'ming'deng 青翠蛙明灯
'qing'se'di'tan 青色地毯
'qing'se'dai'you'tao'wa 青色带釉陶瓦
'qing'se'chuang 青色床
'qing'se'qi'zhi 青色旗帜
'qing'se'ran'liao 青色染料
'qing'se'ran'se'bo'li 青色染色玻璃
'qing'se'ran'se'bo'li'ban 青色染色玻璃板
'qing'se'hun'ning'tu 青色混凝土
'qing'se'hun'ning'tu'fen'mo 青色混凝土粉末
'qing'se'qian'ying'he 青色潜影盒
'qing'se'yang'mao 青色羊毛
'qing'se'la'zhu 青色蜡烛
'qing'se'tao'wa 青色陶瓦
'qing'wa 青蛙
'qing'wa'shua'guai'dan 青蛙刷怪蛋
'qing'wa'luan 青蛙卵
'qing'jin'shi 青金石
'qing'jin'shi'kuai 青金石块
'qing'jin'shi'kuang'shi 青金石矿石
'mian'bao 面包
'an 鞍
'qiao'chi 鞘翅
'yin'yue'chang'pian 音乐唱片
'yin'fu'he 音符盒
'feng'dan 风弹
'feng'bao 风爆
'feng'shi'e'di 风蚀恶地
'feng'xi'qiu'ling 风袭丘陵
'feng'xi'sen'lin 风袭森林
'feng'xi'sha'li'qiu'ling 风袭沙砾丘陵
'feng'xi're'dai'cao'yuan 风袭热带草原
'piao'fu 飘浮
'piao'fu'zhi'jian 飘浮之箭
'piao'fu'yao'shui 飘浮药水
'ji'e 饥饿
'shi'wen'tao'guan 饰纹陶罐
'bao'he 饱和
'er'diao 饵钓
'ma 马
'ma'shua'guai'dan 马刷怪蛋
'ma'ling'shu 马铃薯
'lv 驴
'lv'shua'guai'dan 驴刷怪蛋
'luo'tuo 骆驼
'luo'tuo'shua'guai'dan 骆驼刷怪蛋
'luo 骡
'luo'shua'guai'dan 骡刷怪蛋
'gu'kuai 骨块
'gu'tou 骨头
'gu'fen 骨粉
'ku'lou 骷髅
'ku'lou'shua'guai'dan 骷髅刷怪蛋
'ku'lou'tou'lu 骷髅头颅
'ku'lou'ma 骷髅马
'ku'lou'ma'shua'guai'dan 骷髅马刷怪蛋
'gao'hai'cao 高海草
'gao'lu 高炉
'gao'cao'cong 高草丛
'you'yu 鱿鱼
'you'yu'shua'guai'dan 鱿鱼刷怪蛋
'gui'yu 鲑鱼
'gui'yu'shua'guai'dan 鲑鱼刷怪蛋
'gui'yu'tong 鲑鱼桶
'xue'yu 鳕鱼
'xue'yu'shua'guai'dan 鳕鱼刷怪蛋
'xue'yu'tong 鳕鱼桶
'lin'jia 鳞甲
'ji 鸡
'ji'shua'guai'dan 鸡刷怪蛋
'ji'dan 鸡蛋
'ying'wu 鹦鹉
'ying'wu'shua'guai'dan 鹦鹉刷怪蛋
'ying'wu'luo'ke 鹦鹉螺壳
'lu'jiao'shan'hu 鹿角珊瑚
'lu'jiao'shan'hu'kuai 鹿角珊瑚块
'lu'jiao'shan'hu'shan 鹿角珊瑚扇
'mai'kun'wen'yang'tao'pian 麦捆纹样陶片
'huang'lv'se'di'tan 黄绿色地毯
'huang'lv'se'dai'you'tao'wa 黄绿色带釉陶瓦
'huang'lv'se'chuang 黄绿色床
'huang'lv'se'qi'zhi 黄绿色旗帜
'huang'lv'se'ran'liao 黄绿色染料
'huang'lv'se'ran'se'bo'li 黄绿色染色玻璃
'huang'lv'se'ran'se'bo'li'ban 黄绿色染色玻璃板
'huang'lv'se'hun'ning'tu 黄绿色混凝土
'huang'lv'se'hun'ning'tu'fen'mo 黄绿色混凝土粉末
'huang'lv'se'qian'ying'he 黄绿色潜影盒
'huang'lv'se'yang'mao 黄绿色羊毛
'huang'lv'se'la'zhu 黄绿色蜡烛
'huang'lv'se'tao'wa 黄绿色陶瓦
'huang'se'di'tan 黄色地毯
'huang'se'dai'you'tao'wa 黄色带釉陶瓦
'huang'se'chuang 黄色床
'huang'se'qi'zhi 黄色旗帜
'huang'se'ran'liao 黄色染料
'huang'se'ran'se'bo'li 黄色染色玻璃
'huang'se'ran'se'bo'li'ban 黄色染色玻璃板
'huang'se'hun'ning'tu 黄色混凝土
'huang'se'hun'ning'tu'fen'mo 黄色混凝土粉末
'huang'se'qian'ying'he 黄色潜影盒
'huang'se'yang'mao 黄色羊毛
'huang'se'la'zhu 黄色蜡烛
'huang'se'tao'wa 黄色陶瓦
'nian'tu 黏土
'nian'tu'qiu 黏土球
'nian'xing'huo'sai 黏性活塞
'nian'ye'kuai 黏液块
'nian'ye'qiu 黏液球
'hei'an 黑暗
'hei'yao'shi 黑曜石
'hei'sen'lin 黑森林
'hei'shi 黑石
'hei'shi'tai'jie 黑石台阶
'hei'shi'qiang 黑石墙
'hei'shi'lou'ti 黑石楼梯
'hei'se'di'tan 黑色地毯
'hei'se'dai'you'tao'wa 黑色带釉陶瓦
'hei'se'chuang 黑色床
'hei'se'qi'zhi 黑色旗帜
'hei'se'ran'liao 黑色染料
'hei'se'ran'se'bo'li 黑色染色玻璃
'hei'se'ran'se'bo'li'ban 黑色染色玻璃板
'hei'se'hun'ning'tu 黑色混凝土
'hei'se'hun'ning'tu'fen'mo 黑色混凝土粉末
'hei'se'qian'ying'he 黑色潜影盒
'hei'se'yang'mao 黑色羊毛
'hei'se'la'zhu 黑色蜡烛
'hei'se'tao'wa 黑色陶瓦
'long'xi 龙息
'long'dan 龙蛋
'long'shou 龙首
